Tile/Artist,Price,Is_On_Sale,Vinyl_Cover
Vyacheslav Malezhik – Streets and Lanes…,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/malejik-300x300.jpeg
Vyacheslav Dobrynin and Mikhail Ryabinin – On the Motor Ship Music Plays,21 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/music-300x300.jpeg
Bob Marley & The Wailers – Babylon By Bus (Japan Pressing),87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/440253635_415307208021299_5317306756503605848_n-300x300.jpg
Led Zeppelin – The Soundtrack From The Film The Song Remains The Same,101 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/R-412475-1618816579-7492-300x300.jpg
Nirvana – Nirvana (Sealed),84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/NIRVANA1-300x300.jpg
"Radiohead – Kid A (Reissue, Sealed)",94 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/kid-a-1-300x300.webp
Led Zeppelin – Led Zeppelin II (Sealed),87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/zeppeliin-300x300.webp
The Strokes – Is This It (Sealed),87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/STROKES1-300x300.webp
Led Zeppelin – Led Zeppelin IV (Sealed),87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2022/12/lz-1-300x300.jpg
Vladimir Vysotsky – On the Neutral Line,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/visocki-300x300.jpeg
Space – Magic Fly,21 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/06/magic-300x300.jpeg
Vladimir Vysotsky – Song About a Friend,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/visocki4-300x300.jpeg
Vladimir Vysotsky – Moscow – Odessa,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/visocki3-300x300.jpeg
Vladimir Vysotsky – Sentimental Boxer,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/visocki-1-300x300.jpeg
The Beatles – Revolver (Sealed),94 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/04/btls1-300x300.jpg
New Year’s Disco,21 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/cxeni-300x300.jpeg
"The Beatles – Yellow Submarine (Remaster, Sealed)",94 GEL,Yes,https://vinyl.ge/wp-content/uploads/2022/02/yellow-submarine-300x300.jpg
Joy Division – Warsaw (Sealed),80 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/warsaw1-300x300.jpg
Eric Clapton – Journeyman (Gatefold),45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/eric-300x300.jpg
Chicago – Chicago V,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/chicaggo-300x300.jpg
